cheque_id,destroyed_timestamp
100936,22/01/2024 13:07
136043,18/01/2024 16:13
169086,17/01/2024 07:23
166224,13/12/2023 02:27
125626,20/01/2024 14:02
187119,26/01/2024 11:04
141487,26/01/2024 22:41
116783,31/01/2024 02:24
121860,28/12/2023 11:21
100328,18/01/2024 09:48
140463,12/12/2023 07:42
112978,31/01/2024 02:54
180670,16/12/2023 10:04
148153,24/12/2023 20:25
129452,05/01/2024 12:41
144926,29/01/2024 22:29
127871,05/01/2024 02:49
195360,21/12/2023 14:13
116537,07/12/2023 15:46
148310,29/01/2024 02:48
108860,10/01/2024 09:00
180351,13/12/2023 05:55
110972,18/12/2023 15:19
159643,04/01/2024 07:00
118099,26/01/2024 18:25
194548,28/12/2023 18:45
146067,02/02/2024 09:04
145562,17/01/2024 21:23
191327,01/02/2024 07:11
128496,19/01/2024 20:37
143374,16/01/2024 11:17
116540,30/01/2024 16:35
176720,29/12/2023 03:16
179098,26/01/2024 00:12
128404,03/01/2024 11:02
143225,20/12/2023 04:28
160270,12/12/2023 07:58
164064,10/01/2024 21:59
144416,17/01/2024 03:56
155233,22/01/2024 13:50
131180,21/01/2024 05:34
167709,12/12/2023 17:08
104211,09/01/2024 23:09
148894,23/12/2023 13:23
154916,24/01/2024 04:17
166302,30/12/2023 05:02
140310,01/01/2024 23:32
103389,08/01/2024 21:56
161012,23/12/2023 16:56
157852,02/01/2024 10:31
194610,29/01/2024 21:00
172494,20/12/2023 13:19
145227,07/12/2023 00:57
165330,22/12/2023 17:10
179792,18/12/2023 13:15
170013,09/01/2024 00:31
199297,19/01/2024 23:57
158786,11/01/2024 07:23
166538,25/12/2023 23:20
178199,31/01/2024 17:56
168916,08/01/2024 09:09
120231,09/01/2024 23:10
124354,24/01/2024 17:50
186821,02/01/2024 18:26
108821,18/12/2023 20:27
102480,14/01/2024 01:58
156594,17/01/2024 09:24
122652,15/12/2023 14:32
145836,18/12/2023 01:12
184446,27/01/2024 20:52
193714,11/12/2023 11:03
175673,02/02/2024 08:41
123813,22/01/2024 01:44
147207,26/12/2023 04:13
154816,14/12/2023 00:42
102735,15/01/2024 00:18
187069,08/01/2024 04:36
107616,16/12/2023 07:50
135108,07/01/2024 06:14
109679,03/01/2024 01:14
106398,10/01/2024 10:10
156282,15/01/2024 12:06
134946,13/01/2024 17:02
136445,10/12/2023 21:28
173501,05/01/2024 04:31
194415,20/12/2023 05:55
162282,21/12/2023 09:01
126745,02/01/2024 05:21
146070,18/01/2024 12:43
124702,21/12/2023 03:00
128895,27/01/2024 21:07
153838,18/12/2023 03:15
159441,19/12/2023 09:47
169864,16/01/2024 07:18
101492,28/01/2024 14:38
147246,13/01/2024 05:12
166580,11/12/2023 23:44
172021,02/01/2024 20:36
127076,25/01/2024 18:55
185409,13/12/2023 19:35
